barcode,status,matriz_name,matriz_list_price,matriz_standard_price,branch_id,branch_name,branch_list_price_before,branch_standard_price_before,branch_list_price_after,branch_standard_price_after,error
6920241012621,PLANNED,UNA POSTIZA ADDICT PRO TRANSPARENTE SOFT GEL X 100 ALMENDRA RUSA,2.60869565,1.75166667,1672,UNA POSTIZA ADDICT PRO TRANSPARENTE SOFT GEL X 100 ALMENDRA RUSA,2.61,1.75,2.60869565,1.75166667,
6945026641254,PLANNED,UNA PRACTICA ALARGADA NATURAL,1.30434783,0.76333333,1708,UNA PRACTICA ALARGADA NATURAL,1.3,0.76,1.30434783,0.76333333,
6969000110116,PLANNED,UNA X 100 BALERINA SONRISA NATURAL,1.30434783,0.99375,1677,UNA X 100 BALERINA SONRISA NATURAL,1.3,0.99,1.30434783,0.99375,
7861168811128,PLANNED,URBAN GEL/CEJAS DARK BROWN UM103,3.91304348,2.75,1196,URBAN GEL/CEJAS DARK BROWN UM103,3.91,2.75,3.91304348,2.75,
6924372629376,PLANNED,USHAS LIP KITS NATURAL 3tonos (Gloss/Balm),2.17391304,1.08694444,1266,USHAS LIP KITS NATURAL 3tonos (Gloss/Balm),2.17,1.09,2.17391304,1.08694444,
6924372619087,PLANNED,USHAS LIQUID BLUSHER RUBOR FARFD,3.04347826,1.9,2445,USHAS LIQUID BLUSHER RUBOR FARFD,3.04,1.9,3.04347826,1.9,
6924372654200,PLANNED,USHAS MASK HIDRATANTE DE MANOS AGUACATE UN PAR ,1.52173913,1.0,1789,USHAS MASK HIDRATANTE DE MANOS AGUACATE UN PAR ,1.52,1.0,1.52173913,1.0,
6924372654323,PLANNED,USHAS MASK HIDRATANTE DE MANOS UN PAR ,1.52173913,1.0,1790,USHAS MASK HIDRATANTE DE MANOS UN PAR ,1.52,1.0,1.52173913,1.0,
6924372656174,PLANNED,USHAS REMOVEDOR DE MAQUILLAJE 3 EN 1  ,4.3478,2.5,1007,USHAS REMOVEDOR DE MAQUILLAJE 3 EN 1  ,4.35,2.5,4.3478,2.5,
6924372653722,PLANNED,USHAS TONICO GRANADA ESSENCIAL ,2.1739,1.65,1013,USHAS TONICO GRANADA ESSENCIAL ,2.17,1.65,2.1739,1.65,
7861168828997,PLANNED,UÑAS COFFIN R611-3,2.39130435,1.73,1678,UÑAS COFFIN R611-3,2.83,1.7,2.39130435,1.73,
7861168700522,PLANNED,UÑAS DUAL SYSTEM,2.3913043,1.0,1059,UÑAS DUAL SYSTEM,2.39,1.0,2.3913043,1.0,
6902687812218,PLANNED,UÑAS POSTIZAS ESTILETO NATURAL,2.17391304,1.7,1646,UÑAS POSTIZAS ESTILETO NATURAL,2.17,1.7,2.17391304,1.7,
7861168871092,PLANNED,UÑAS X500 MASTER NAILS ,7.47826087,6.5895,1675,UÑAS X500 MASTER NAILS ,7.48,6.59,7.47826087,6.59,
7509552949889,PLANNED,V BASE RESIST RENO VAINILLA 30H 30ML,5.2173913,3.89,2531,V BASE RESIST RENO VAINILLA 30H 30ML,5.22,3.89,5.2173913,3.89,
7861168830907,PLANNED,VASO MEDIDOR STAR HAIR,0.86956522,0.435,601,VASO MEDIDOR STAR HAIR,0.87,0.44,0.87,0.435,
7861168872112,PLANNED,VENTILADOR GLAM BEAUTY,3.91304348,3.0,2251,VENTILADOR GLAM BEAUTY,3.91,3.0,3.91304348,3.0,
6602024066228,PLANNED,VENTILADOR MINI FANS ,3.2608695,2.24833333,1455,VENTILADOR MINI FANS ,3.26,2.25,3.26,2.24833333,
VKE-328,PLANNED,VIKIYI DIY LASH EXTENSION,4.34782609,3.48,2441,VIKIYI DIY LASH EXTENSION,4.35,3.48,4.34782609,3.48,
VKE-329,PLANNED,VIKIYI DIY LASH EXTENSION,4.34782609,3.48,2449,VIKIYI DIY LASH EXTENSION,4.35,3.48,4.34782609,3.48,
6068745892193,PLANNED,VINCHA CORAZONCITO,0.4347826,0.27,2058,VINCHA CORAZONCITO,0.43,0.27,0.4347826,0.27,
4885096,PLANNED,VITAL GLASS COQUETAS 96,3.913,2.25,875,VITAL GLASS COQUETAS 96,3.91,2.25,3.913,2.25,
4885085,PLANNED,VITRAL GLAS COQUETAS 85,3.913,2.25,878,VITRAL GLAS COQUETAS 85,3.91,2.25,3.913,2.25,
4885086,PLANNED,VITRAL GLASS COQUETAS 86,3.913,2.25,877,VITRAL GLASS COQUETAS 86,3.91,2.25,3.913,2.25,
